stl,fl,age,sex,year,source,species
78.4,62.0,0.833333333,f,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
,,,nan,2007.0,qld,abt
87.0,68.5,1.416666667,m,2009.0,qld,abt
72.5,57.0,0.416666667,f,2009.0,qld,abt
72.0,57.0,0.416666667,f,2009.0,qld,abt
71.5,56.0,0.416666667,f,2009.0,qld,abt
65.1,51.5,0.416666667,f,2009.0,qld,abt
71.0,56.0,0.416666667,f,2009.0,qld,abt
68.0,53.0,0.416666667,f,2009.0,qld,abt
68.0,53.0,0.416666667,f,2009.0,qld,abt
68.0,53.0,0.416666667,f,2009.0,qld,abt
68.0,53.0,0.416666667,f,2009.0,qld,abt
70.0,55.0,0.416666667,f,2009.0,qld,abt
86.0,67.0,1.416666667,m,2009.0,qld,abt
74.7,58.5,0.833333333,m,2007.0,qld,abt
93.9,74.2,1.833333333,m,2007.0,qld,abt
92.7,73.2,2.833333333,m,2007.0,qld,abt
97.5,75.5,2.833333333,f,2007.0,qld,abt
148.8273393,,,m,2007.0,qld,abt
143.5219229,,,m,2007.0,qld,abt
97.0995289,,3.833333333,f,2007.0,qld,abt
72.5619778,,0.833333333,m,2007.0,qld,abt
95.64053938,,2.833333333,m,2007.0,qld,abt
71.89880074,,0.833333333,f,2007.0,qld,abt
88.34559175,,1.833333333,f,2007.0,qld,abt
72.42934239,,0.833333333,nan,2007.0,qld,abt
73.22515486,,0.833333333,f,2007.0,qld,abt
124.1571528,,,m,2007.0,qld,abt
111.6894242,,3.833333333,f,2007.0,qld,abt
105.7208306,,4.833333333,m,2007.0,qld,abt
133.574267,,,m,2007.0,qld,abt
91.2,72.0,1.833333333,f,2007.0,qld,abt
95.7,75.6,1.833333333,m,2007.0,qld,abt
96.5,75.5,3.833333333,m,2007.0,qld,abt
83.4,65.8,1.833333333,f,2007.0,qld,abt
74.4,58.6,0.833333333,m,2007.0,qld,abt
69.0,54.6,0.833333333,f,2007.0,qld,abt
150.0,120.0,11.5,f,2007.0,qld,abt
107.5,85.0,3.5,m,2007.0,qld,abt
67.0,52.0,0.5,m,2007.0,qld,abt
69.5,54.0,0.5,m,2007.0,qld,abt
68.0,53.5,0.5,m,2007.0,qld,abt
67.0,53.0,0.5,m,2007.0,qld,abt
111.0,,4.5,f,2007.0,qld,abt
70.0,55.5,0.5,f,2007.0,qld,abt
69.0,54.0,0.5,f,2007.0,qld,abt
68.0,54.0,0.5,f,2007.0,qld,abt
61.5,49.0,0.5,m,2007.0,qld,abt
69.5,54.9,0.5,f,2007.0,qld,abt
106.0,83.0,4.5,f,2007.0,qld,abt
85.0,67.0,1.583333333,m,2007.0,qld,abt
,,0.5,nan,2007.0,qld,abt
85.5,67.5,1.583333333,f,2007.0,qld,abt
92.5,73.5,1.583333333,nan,2007.0,qld,abt
103.9308761,83.0,2.583333333,f,2007.0,qld,abt
69.5,55.0,0.583333333,f,2007.0,qld,abt
68.5,54.5,0.583333333,m,2007.0,qld,abt
67.0,53.0,0.583333333,m,2007.0,qld,abt
64.5,51.0,0.583333333,m,2007.0,qld,abt
67.0,54.5,0.583333333,f,2007.0,qld,abt
69.0,55.0,0.583333333,f,2007.0,qld,abt
84.5,67.5,1.583333333,f,2007.0,qld,abt
71.0,57.0,0.583333333,f,2007.0,qld,abt
76.3,59.4,,m,2007.0,qld,abt
72.9,57.0,0.833333333,m,2007.0,qld,abt
66.6,43.7,0.833333333,m,2007.0,qld,abt
76.4,60.0,0.833333333,f,2007.0,qld,abt
78.5,63.5,1.0,f,2007.0,qld,abt
65.0,52.0,0.0,m,2007.0,qld,abt
148.5,117.5,11.0,m,2009.0,qld,abt
93.8,73.5,2.0,m,2009.0,qld,abt
93.8,73.5,2.0,m,2009.0,qld,abt
93.8,73.5,2.0,m,2009.0,qld,abt
93.8,73.5,2.0,m,2009.0,qld,abt
86.5,68.4,2.0,f,2009.0,qld,abt
81.7,64.8,2.0,m,2009.0,qld,abt
75.1,59.0,1.0,f,2009.0,qld,abt
78.9,62.5,1.0,m,2009.0,qld,abt
75.0,59.4,1.0,m,2009.0,qld,abt
89.2,71.2,2.0,f,2009.0,qld,abt
80.9,64.0,1.0,m,2009.0,qld,abt
137.2,108.8,8.0,f,2009.0,qld,abt
91.1,71.7,2.0,f,2009.0,qld,abt
82.9,66.0,2.0,m,2009.0,qld,abt
137.3,109.2,8.0,m,2009.0,qld,abt
127.7,100.0,8.0,m,2009.0,qld,abt
78.0,61.4,1.0,f,2009.0,qld,abt
107.5,69.1,4.0,m,2009.0,qld,abt
122.0,94.9,8.0,m,2009.0,qld,abt
78.7,62.2,1.0,f,2009.0,qld,abt
97.4,77.0,3.0,f,2009.0,qld,abt
80.9,63.9,1.0,f,2009.0,qld,abt
91.2,71.6,2.0,f,2009.0,qld,abt
76.4,59.9,1.0,m,2009.0,qld,abt
75.5,59.0,1.0,f,2009.0,qld,abt
101.4,79.7,4.0,f,2009.0,qld,abt
78.9,61.7,1.0,f,2009.0,qld,abt
85.0,66.5,2.0,m,2009.0,qld,abt
72.3,56.7,1.0,m,2009.0,qld,abt
72.1,56.6,1.0,m,2009.0,qld,abt
107.0,85.1,4.0,f,2009.0,qld,abt
82.3,65.5,1.0,f,2009.0,qld,abt
80.1,63.5,1.0,f,2009.0,qld,abt
80.1,63.5,1.0,f,2009.0,qld,abt
80.1,63.5,1.0,f,2009.0,qld,abt
80.1,63.5,1.0,f,2009.0,qld,abt
90.6,71.1,3.0,f,2009.0,qld,abt
74.2,58.7,1.0,m,2009.0,qld,abt
78.5,62.0,1.0,f,2009.0,qld,abt
78.5,62.0,1.0,f,2009.0,qld,abt
78.5,62.0,1.0,f,2009.0,qld,abt
78.5,62.0,1.0,f,2009.0,qld,abt
80.8,64.1,1.0,f,2009.0,qld,abt
136.0,107.9,9.0,m,2009.0,qld,abt
89.2,70.2,2.0,m,2009.0,qld,abt
82.2,74.3,1.0,f,2009.0,qld,abt
74.9,58.8,1.0,f,2009.0,qld,abt
96.1,76.0,4.0,f,2009.0,qld,abt
96.1,76.0,4.0,f,2009.0,qld,abt
91.9,71.9,3.0,f,2009.0,qld,abt
88.9,70.4,3.0,m,2009.0,qld,abt
103.0,82.0,2.916666667,m,2008.0,qld,abt
94.0,74.0,1.916666667,f,2008.0,qld,abt
118.0,92.5,4.916666667,m,2008.0,qld,abt
114.0,89.0,3.916666667,m,2008.0,qld,abt
102.5,81.0,2.916666667,m,2008.0,qld,abt
107.0,84.0,3.916666667,f,2008.0,qld,abt
102.0,80.0,2.916666667,f,2008.0,qld,abt
118.0,94.6,5.0,m,2008.0,qld,abt
74.5,59.0,1.0,f,2008.0,qld,abt
125.5492193,101.0,5.0,m,2008.0,qld,abt
112.0,88.0,4.0,f,2008.0,qld,abt
121.0,96.0,5.0,m,2008.0,qld,abt
121.0,96.0,5.0,m,2008.0,qld,abt
121.0,96.0,5.0,m,2008.0,qld,abt
121.0,96.0,5.0,m,2008.0,qld,abt
101.0,83.0,3.0,m,2008.0,qld,abt
130.0,103.0,6.0,f,2008.0,qld,abt
113.0,91.0,4.0,f,2008.0,qld,abt
145.3,115.5,9.75,m,2007.0,qld,abt
73.9,58.5,0.75,m,2007.0,qld,abt
80.0,62.7,1.916666667,f,2008.0,qld,abt
65.1,51.9,0.0,f,2008.0,qld,abt
64.8,51.1,0.0,f,2009.0,qld,abt
126.0,107.0,8.0,m,2008.0,qld,abt
75.74522767,,0.833333333,m,2007.0,qld,abt
77.73475884,,0.833333333,m,2007.0,qld,abt
93.65100821,,2.833333333,f,2007.0,qld,abt
154.0,125.0,12.75,m,2008.0,qld,abt
156.0,125.0,7.75,m,2008.0,qld,abt
153.0,122.0,7.75,m,2008.0,qld,abt
180.0,150.0,14.75,f,2008.0,qld,abt
180.0,141.0,11.75,f,2008.0,qld,abt
150.0,122.0,9.75,m,2008.0,qld,abt
166.0,133.0,12.75,f,2008.0,qld,abt
166.0,133.0,12.75,f,2008.0,qld,abt
91.2,72.0,1.75,f,2008.0,qld,abt
115.4,91.4,3.75,f,2008.0,qld,abt
90.0,71.5,1.916666667,m,2008.0,qld,abt
98.5,77.7,3.916666667,m,2008.0,qld,abt
78.5,61.0,0.916666667,f,2008.0,qld,abt
92.0,73.1,1.916666667,m,2008.0,qld,abt
77.6,61.0,0.916666667,f,2008.0,qld,abt
78.0,61.5,0.916666667,m,2008.0,qld,abt
79.5,62.5,0.916666667,f,2008.0,qld,abt
62.3,48.7,0.416666667,m,2009.0,qld,abt
64.4,,0.0,m,2010.0,qld,abt
61.0,,0.0,f,2010.0,qld,abt
61.0,,0.0,m,2010.0,qld,abt
56.8,,0.0,m,2010.0,qld,abt
62.0,,0.0,m,2010.0,qld,abt
62.8,,0.0,m,2010.0,qld,abt
60.5,,,m,2011.0,qld,abt
64.7,,,m,2011.0,qld,abt
59.8,,0.0,m,2010.0,qld,abt
58.6,,0.0,f,2010.0,qld,abt
58.3,,0.0,f,2010.0,qld,abt
64.0,,0.0,f,2010.0,qld,abt
63.2,,0.0,m,2010.0,qld,abt
59.9,,0.0,f,2010.0,qld,abt
80.7,,1.666666667,f,2009.0,qld,abt
88.9,,1.666666667,m,2009.0,qld,abt
63.0,,,m,2009.0,qld,abt
175.0,,13.66666667,f,2009.0,qld,abt
141.0,111.5,7.416666667,f,2009.0,qld,abt
96.1,,2.416666667,f,2009.0,qld,abt
105.9,84.0,3.416666667,f,2009.0,qld,abt
102.8,,3.416666667,m,2009.0,qld,abt
102.5,,4.416666667,m,2009.0,qld,abt
129.0,,5.416666667,m,2009.0,qld,abt
128.7,,6.416666667,m,2009.0,qld,abt
159.0,,9.416666667,f,2009.0,qld,abt
114.0,90.9,5.416666667,m,2009.0,qld,abt
86.5,68.0,1.416666667,m,2009.0,qld,abt
89.2,70.0,2.416666667,m,2009.0,qld,abt
164.0,,10.41666667,f,2009.0,qld,abt
63.1,49.8,0.0,f,2009.0,qld,abt
63.2,49.2,0.0,f,2009.0,qld,abt
71.5,55.2,0.416666667,m,2008.0,qld,abt
73.3,57.4,0.666666667,m,2008.0,qld,abt
85.6,67.8,1.666666667,m,2008.0,qld,abt
77.7,60.8,0.666666667,f,2008.0,qld,abt
71.3,55.5,0.666666667,f,2008.0,qld,abt
166.7,138.9,,f,2010.0,qld,abt
61.4,46.5,,m,2008.0,qld,abt
124.0,101.0,,m,2008.0,qld,abt
141.8,114.0,,m,2008.0,qld,abt
145.0,115.0,,m,2008.0,qld,abt
145.0,110.0,,m,2008.0,qld,abt
121.0,91.0,,f,2008.0,qld,abt
155.0,126.0,,m,2008.0,qld,abt
136.0,107.0,,m,2008.0,qld,abt
139.0,110.0,,m,2008.0,qld,abt
146.0,113.6,11.91666667,m,2011.0,qld,abt
167.0,140.0,,f,2008.0,qld,abt
164.0,130.5,,f,2008.0,qld,abt
160.0,130.0,,f,2009.0,qld,abt
120.0,95.0,,f,2009.0,qld,abt
125.0,105.0,,f,2009.0,qld,abt
127.0,105.0,,f,2009.0,qld,abt
149.0,120.0,,f,2009.0,qld,abt
139.0,113.0,,f,2009.0,qld,abt
165.0,141.0,,f,2009.0,qld,abt
119.0,96.0,,m,2009.0,qld,abt
113.0,93.0,,m,2009.0,qld,abt
126.5,105.0,,m,2009.0,qld,abt
140.0,118.0,,m,2009.0,qld,abt
133.0,113.0,,f,2009.0,qld,abt
130.0,108.0,,m,2009.0,qld,abt
125.0,103.0,,f,2009.0,qld,abt
148.0,118.0,,m,2009.0,qld,abt
122.0,98.0,,m,2008.0,qld,abt
113.0,92.5,,f,2008.0,qld,abt
