stl,fl,age,sex,year,source,species
100.0,78.9,5.333,m,2009,nan,sss
121.0,98.0,7.0,f,2008,nan,sss
110.0,85.5,4.083,f,2008,nan,sss
102.0,78.5,2.083,f,2008,nan,sss
102.0,80.5,3.0,m,2008,nan,sss
101.5,78.5,3.0,f,2008,nan,sss
128.0,106.0,,f,2008,nan,sss
103.2,81.6,,m,2009,nan,sss
101.5,79.5,4.333,m,2009,nan,sss
106.6,83.5,6.333,m,2009,nan,sss
102.6,80.5,3.333,m,2009,nan,sss
103.8,81.5,4.333,m,2009,nan,sss
94.2,73.2,2.333,m,2009,nan,sss
59.1,44.7,0.25,m,2010,nan,sss
,,,m,2009,nan,sss
99.2,78.1,,m,2009,nan,sss
120.0,100.0,,f,2009,nan,sss
96.2,74.9,2.333,m,2009,nan,sss
103.4,81.8,3.333,m,2009,nan,sss
105.9,84.0,,f,2009,nan,sss
107.4,85.3,,m,2009,nan,sss
99.4,78.3,,m,2009,nan,sss
101.6,80.2,,m,2009,nan,sss
103.5,81.9,,m,2009,nan,sss
101.4,80.0,,f,2009,nan,sss
105.5,83.6,,f,2009,nan,sss
106.4,84.4,,f,2009,nan,sss
117.9,94.5,,f,2009,nan,sss
99.3,78.2,,m,2009,nan,sss
92.5,72.2,,f,2009,nan,sss
104.8,83.0,,m,2009,nan,sss
92.7,72.4,,m,2009,nan,sss
84.0,64.8,,f,2009,nan,sss
102.6,81.1,,m,2009,nan,sss
85.1,65.7,,f,2009,nan,sss
112.0,90.0,,f,2009,nan,sss
84.3,65.0,,m,2009,nan,sss
100.5,83.0,,f,2009,nan,sss
112.8,90.0,,m,2009,nan,sss
108.6,86.3,,f,2009,nan,sss
115.3,92.2,,f,2009,nan,sss
107.9,85.7,,m,2009,nan,sss
110.0,89.5,,f,2009,nan,sss
103.8,81.8,5.0,m,2009,nan,sss
126.0,101.0,,f,2009,nan,sss
115.2,92.1,,f,2009,nan,sss
92.0,71.8,,m,2009,nan,sss
105.9,84.0,,m,2009,nan,sss
103.1,81.5,,m,2009,nan,sss
110.4,87.9,,f,2009,nan,sss
109.9,87.5,,f,2009,nan,sss
104.8,83.0,,m,2009,nan,sss
104.8,83.0,,m,2009,nan,sss
103.9,82.2,,m,2009,nan,sss
91.1,71.0,,m,2009,nan,sss
105.7,83.8,,m,2009,nan,sss
117.5,94.1,,f,2009,nan,sss
98.2,77.2,,m,2009,nan,sss
106.5,84.5,,m,2009,nan,sss
98.6,77.6,,m,2009,nan,sss
109.0,86.7,,m,2009,nan,sss
85.4,66.0,,m,2009,nan,sss
85.5,66.1,,m,2009,nan,sss
100.6,79.3,,m,2009,nan,sss
102.2,80.7,,m,2009,nan,sss
108.8,86.5,,f,2009,nan,sss
104.2,82.5,,m,2009,nan,sss
111.9,89.2,,f,2009,nan,sss
108.8,86.5,,f,2009,nan,sss
104.7,82.9,,f,2009,nan,sss
114.1,91.2,,f,2009,nan,sss
117.7,94.3,,f,2009,nan,sss
108.3,86.1,,f,2009,nan,sss
116.1,92.9,,f,2009,nan,sss
97.4,76.5,,m,2009,nan,sss
108.8,86.5,,f,2009,nan,sss
97.4,76.5,,m,2009,nan,sss
101.5,80.1,,m,2009,nan,sss
102.6,81.1,,m,2009,nan,sss
104.0,,,f,2009,nan,sss
106.9,84.8,,m,2009,nan,sss
100.0,78.0,,f,2009,nan,sss
102.0,80.0,,m,2009,nan,sss
127.0,,,f,2009,nan,sss
83.7,64.2,,m,2009,nan,sss
55.0,,0.0,f,2010,nan,sss
103.2,82.0,6.083,m,2008,nan,sss
111.0,88.0,,f,2009,nan,sss
105.0,83.0,,m,2008,nan,sss
100.5,,,m,2009,nan,sss
108.0,87.0,,m,2008,nan,sss
109.0,89.0,,f,2009,nan,sss
100.3,80.0,,f,2009,nan,sss
104.0,85.0,,m,2009,nan,sss
125.6,105.0,,f,2008,nan,sss
95.4,75.2,,m,2009,nan,sss
54.5,,0.0,m,2010,nan,sss
84.0,66.3,,m,2009,nan,sss
112.9,89.5,,f,2009,nan,sss
130.0,104.0,13.667,f,2009,nan,sss
111.0,87.0,,m,2008,nan,sss
104.0,85.0,,m,2009,nan,sss
107.0,89.0,,m,2008,nan,sss
110.5,,4.667,f,2009,nan,sss
103.2,,,f,2009,nan,sss
98.0,78.2,3.083,m,2008,nan,sss
109.0,81.0,,m,2008,nan,sss
103.0,81.0,,m,2009,nan,sss
112.0,87.0,4.417,m,2009,nan,sss
127.4,100.0,,f,2008,nan,sss
123.0,100.0,,f,2009,nan,sss
102.0,79.0,2.417,m,2009,nan,sss
106.0,88.0,,m,2009,nan,sss
112.0,81.0,4.417,m,2009,nan,sss
111.0,88.0,4.417,m,2009,nan,sss
104.0,81.0,3.417,m,2009,nan,sss
99.0,74.5,2.417,f,2009,nan,sss
78.4,60.5,0.917,f,2009,nan,sss
107.0,81.5,3.417,m,2009,nan,sss
106.0,84.0,,m,2009,nan,sss
103.0,80.0,2.417,m,2009,nan,sss
98.5,76.0,2.417,f,2009,nan,sss
104.0,83.0,,m,2009,nan,sss
96.0,81.0,,m,2009,nan,sss
107.5,84.5,,m,2009,nan,sss
95.0,72.0,2.417,m,2009,nan,sss
62.0,47.0,0.417,m,2009,nan,sss
81.0,62.0,1.417,m,2009,nan,sss
109.0,88.5,,m,2009,nan,sss
123.0,,,f,2009,nan,sss
100.0,85.0,,m,2009,nan,sss
119.6,96.0,,f,2009,nan,sss
127.0,98.0,,f,2009,nan,sss
99.0,78.0,,m,2009,nan,sss
99.0,78.0,,m,2009,nan,sss
108.0,85.0,,m,2009,nan,sss
102.0,80.0,,m,2009,nan,sss
91.0,69.0,,m,2009,nan,sss
105.0,82.0,,m,2009,nan,sss
102.5,81.0,,m,2009,nan,sss
99.5,82.0,,m,2009,nan,sss
101.0,80.5,,f,2009,nan,sss
105.0,86.0,,m,2009,nan,sss
99.9,80.0,,m,2009,nan,sss
101.5,78.8,,m,2009,nan,sss
104.7,75.0,,m,2009,nan,sss
