Species,Month,Year,Date,Jday,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,Gonad.stage,Run.sperm,MOD,Yolky.ova,Uter.stage,Maturity.Stage,Maternity.Stage,Emb,EmbTL,Embryo,Male.Emb,Female.Emb,Vertebrae,PCL.Vert,AgeAgree,Source
SSS,11,2008,15/10/2008,289,296614,78,1020,710,NA,f,NA,NA,NA,NA,NA,7,NA,3,1,0,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,7/10/2008,281,317143,74.5,950,NA,NA,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,7/10/2008,281,317133,67.6,868,NA,NA,m,n,NA,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,7/10/2008,281,317132,54,711,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,7/10/2008,281,146500,55.4,715,NA,NA,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,7/10/2008,281,146507,59.5,775,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,23/10/2008,297,296623,81,1040,740,NA,m,NA,90,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,23/10/2008,297,296625,82.5,1050,750,NA,m,NA,92,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,23/10/2008,297,296627,72.5,900,660,NA,m,NA,18,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,11,2008,7/10/2008,281,146511,56.3,738,NA,NA,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,11,2008,7/10/2008,281,317146,56.9,751,NA,NA,f,n,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,8/10/2008,282,317218,70.5,915,NA,NA,m,n,64,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,8/10/2008,282,317194,73.6,957,NA,NA,m,n,66,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,8/10/2008,282,317193,70.5,930,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
