Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,29/04/2009,4,2009,BW290409-11,129,154,116,,F,,,,,,A,,,FALSE,,,,,29,15,153,27,36.5,36,37,5,4,4,Agree,4,o,1.568712762,No MIR
NSW1,BTP,29/04/2009,4,2009,BW290409-12,112,136,101,,M,,34,n,,,,,,FALSE,,,,,29,15,153,27,36.5,36,37,4,4,4,Agree,4,w,0.597334893,0
NSW1,BTP,29/04/2009,4,2009,BW290409-14,118,146,106,,F,,,,,,A,,,FALSE,,,,,29,15,153,27,36.5,36,37,3,3,3,Agree,4,m,0.560864481,0
NSW1,BTP,29/04/2009,4,2009,BW290409-15,138,166,125,,M,,45,n,,,,,,FALSE,,,,,29,15,153,27,36.5,36,37,4,5,4,Pascal,3,w,0.688489608,0
NSW1,BTP,20/01/2009,1,2009,CR200109-12,62,79,,,M,,,n,,,,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,4,o,0,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-13,65,82,,,F,,,,,,A,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,3,o,0.203189794,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-14,57,73,,,F,,,,,,A,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,3,o,0.203189794,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-16,59,75,,,M,,,n,,,,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,4,o,0,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-17,62,78,,,F,,,,,,A,,,FALSE,,,,,29,20,153,21,7,7,,,,,Agree,4,o,0,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-18,61,78,,,M,,,n,,,,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,4,o,0,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-19,58,74,,,M,,,n,,,,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,4,o,0,No MIR
NSW1,BTP,20/01/2009,1,2009,CR200109-8,62,78,,,F,,,,,,A,,,FALSE,,,,,29,20,153,21,7,7,,0,0,0,Agree,4,o,0,No MIR
NSW1,BTP,26/02/2008,2,2008,CR260208-13,66,83,,,F,,,,,,A,,,FALSE,,,,,29,13,153,24,22,22,,,,,Agree,4,o,0,No MIR
NSW1,BTP,2/06/2009,6,2009,DW010609-17,186,220,170,,M,,135,y,,,,,,FALSE,,,,,30,27,153,18,98.75,96.9,100.6,16,16,16,Agree,4,o,0,No MIR
NSW1,BTP,2/06/2009,6,2009,DW010609-7,195,233,178,,M,,,y,,,,,,FALSE,,,,,30,27,153,18,98.75,96.9,100.6,13,14,13,Agree,4,o,0,No MIR
NSW1,BTP,13/06/2009,6,2009,DW120609-10,71,88,64,,F,,,,,,A,,,FALSE,,,,,29,26,153,26,40.2,40.2,,0,0,0,Agree,3,o,0.106414961,No MIR
NSW1,BTP,14/06/2009,6,2009,DW130609-1,146,173,132,,M,,76,n,,,,,,FALSE,,,,,28,34,153,43,64.9,64,65.8,5,7,6,b/w,4,w,0.597803362,0
