stl,fl,age,sex,year,source,species
195.0,159.0,,m,2013.0,nsw2,btp
173.0,138.0,,m,2013.0,nsw2,btp
164.0,132.0,,m,2013.0,nsw2,btp
228.0,180.0,,m,2013.0,nsw2,btp
151.0,120.0,,m,2013.0,nsw2,btp
163.0,129.0,,m,2013.0,nsw2,btp
174.0,143.0,,f,2013.0,nsw2,btp
213.0,167.0,,m,2013.0,nsw2,btp
199.0,162.0,,f,2013.0,nsw2,btp
201.0,158.0,,m,2013.0,nsw2,btp
237.0,192.0,,m,2013.0,nsw2,btp
70.1,55.5,,f,2007.0,qld,btp
75.9,60.1,,f,2007.0,qld,btp
67.7,53.5,,m,2007.0,qld,btp
73.9,58.3,,m,2007.0,qld,btp
74.5,59.5,,f,2007.0,qld,btp
68.1,53.7,,f,2007.0,qld,btp
75.0,60.0,,m,2007.0,qld,btp
68.6,54.1,,f,2007.0,qld,btp
72.0,57.1,,f,2007.0,qld,btp
70.5,56.1,,f,2007.0,qld,btp
73.6,58.6,,m,2007.0,qld,btp
70.2,55.5,,m,2007.0,qld,btp
75.5,60.0,,f,2007.0,qld,btp
83.5,66.6,,m,2007.0,qld,btp
74.6,59.0,,m,2007.0,qld,btp
68.5,54.1,,f,2007.0,qld,btp
73.4,57.9,,f,2007.0,qld,btp
76.0,59.6,,f,2007.0,qld,btp
75.5,60.0,,f,2007.0,qld,btp
74.2,58.4,,f,2007.0,qld,btp
90.4,72.3,,f,2007.0,qld,btp
84.1,67.0,,f,2007.0,qld,btp
76.1,61.0,,m,2007.0,qld,btp
73.2,58.0,,m,2007.0,qld,btp
74.0,58.7,,f,2007.0,qld,btp
70.5,56.5,,m,2007.0,qld,btp
75.0,60.0,,m,2007.0,qld,btp
74.0,58.5,,f,2007.0,qld,btp
72.0,57.7,,f,2007.0,qld,btp
77.9,61.7,,m,2007.0,qld,btp
73.5,59.0,,f,2007.0,qld,btp
71.6,57.0,,f,2007.0,qld,btp
72.0,58.0,,m,2007.0,qld,btp
70.0,55.5,,m,2007.0,qld,btp
73.5,58.3,,m,2007.0,qld,btp
74.1,59.2,,m,2007.0,qld,btp
74.3,59.2,,m,2007.0,qld,btp
74.9,59.9,,m,2007.0,qld,btp
71.7,57.7,,m,2007.0,qld,btp
75.5,59.5,,m,2007.0,qld,btp
68.5,54.5,,m,2007.0,qld,btp
73.3,57.5,,f,2007.0,qld,btp
77.2,60.6,,f,2007.0,qld,btp
74.0,59.3,,m,2007.0,qld,btp
70.0,55.5,,m,2007.0,qld,btp
71.5,57.5,,f,2007.0,qld,btp
71.0,56.5,,f,2007.0,qld,btp
72.5,57.4,,f,2007.0,qld,btp
72.5,57.5,,m,2007.0,qld,btp
71.0,55.5,,m,2007.0,qld,btp
72.0,56.6,,m,2007.0,qld,btp
69.6,55.0,,m,2007.0,qld,btp
72.0,57.4,,m,2007.0,qld,btp
72.4,58.3,,f,2007.0,qld,btp
73.4,58.5,,f,2007.0,qld,btp
68.1,53.7,,m,2007.0,qld,btp
70.1,56.4,,m,2007.0,qld,btp
65.0,52.0,,m,2007.0,qld,btp
71.3,57.0,,m,2007.0,qld,btp
67.0,53.5,,m,2007.0,qld,btp
74.0,58.9,,m,2007.0,qld,btp
72.1,57.0,,f,2007.0,qld,btp
69.5,55.3,,f,2007.0,qld,btp
72.9,57.0,,m,2007.0,qld,btp
71.5,57.1,,f,2007.0,qld,btp
69.0,55.6,,m,2007.0,qld,btp
72.5,57.5,,f,2007.0,qld,btp
71.0,57.0,,f,2007.0,qld,btp
79.4,63.0,,m,2007.0,qld,btp
71.6,57.0,,f,2007.0,qld,btp
71.5,57.0,,f,2007.0,qld,btp
76.0,61.0,,m,2007.0,qld,btp
78.5,62.0,,f,2007.0,qld,btp
69.0,55.0,,m,2007.0,qld,btp
69.0,44.5,,m,2007.0,qld,btp
74.0,59.0,,f,2007.0,qld,btp
71.0,56.0,,f,2007.0,qld,btp
66.5,53.0,,m,2007.0,qld,btp
74.0,59.1,,m,2007.0,qld,btp
71.1,56.0,,f,2007.0,qld,btp
72.0,56.8,,m,2007.0,qld,btp
73.3,58.3,,m,2007.0,qld,btp
76.7,60.6,,m,2007.0,qld,btp
71.1,56.0,,m,2007.0,qld,btp
68.4,54.0,,m,2007.0,qld,btp
73.0,57.5,,m,2007.0,qld,btp
66.5,52.0,,m,2007.0,qld,btp
75.6,60.5,,m,2007.0,qld,btp
72.5,57.3,,nan,2007.0,qld,btp
71.1,55.6,,nan,2007.0,qld,btp
69.1,53.6,,nan,2007.0,qld,btp
70.0,55.6,,nan,2007.0,qld,btp
71.8,56.4,,nan,2007.0,qld,btp
73.6,57.6,,nan,2007.0,qld,btp
68.2,53.6,,nan,2007.0,qld,btp
73.0,57.3,,nan,2007.0,qld,btp
69.1,53.6,,nan,2007.0,qld,btp
67.3,51.8,,nan,2007.0,qld,btp
74.0,64.1,,m,2004.0,qld2,btp
80.9,65.9,,m,2004.0,qld2,btp
76.1,63.2,,f,2004.0,qld2,btp
109.0,86.6,,f,2004.0,qld2,btp
87.5,69.0,,m,2004.0,qld2,btp
108.0,87.6,,f,2004.0,qld2,btp
91.4,73.1,,f,2004.0,qld2,btp
90.0,73.7,,f,2004.0,qld2,btp
87.2,69.5,,f,2004.0,qld2,btp
87.3,71.7,,f,2004.0,qld2,btp
87.6,70.6,,f,2004.0,qld2,btp
114.7,92.5,,f,2004.0,qld2,btp
88.2,70.4,,m,2004.0,qld2,btp
72.9,59.7,,f,2004.0,qld2,btp
125.7,106.6,,f,2004.0,qld2,btp
73.0,59.1,,f,2004.0,qld2,btp
93.2,75.7,,f,2004.0,qld2,btp
77.4,62.3,,m,2004.0,qld2,btp
86.0,68.9,,f,2004.0,qld2,btp
94.0,75.6,,f,2004.0,qld2,btp
91.0,72.1,,f,2004.0,qld2,btp
100.7,79.3,,f,2004.0,qld2,btp
86.4,70.4,,f,2004.0,qld2,btp
86.0,69.0,,m,2004.0,qld2,btp
80.2,62.8,,f,2004.0,qld2,btp
90.2,72.1,,m,2004.0,qld2,btp
70.0,50.5,,m,2004.0,qld2,btp
71.9,57.2,,m,2004.0,qld2,btp
74.1,61.5,,f,2004.0,qld2,btp
67.4,55.4,,m,2004.0,qld2,btp
72.5,59.8,,f,2004.0,qld2,btp
91.0,75.6,,f,2004.0,qld2,btp
78.3,63.0,,f,2004.0,qld2,btp
71.7,58.6,,f,2004.0,qld2,btp
85.1,68.4,,f,2004.0,qld2,btp
69.9,56.7,,m,2004.0,qld2,btp
66.1,55.6,,m,2004.0,qld2,btp
72.8,59.4,,f,2004.0,qld2,btp
77.3,62.7,,m,2004.0,qld2,btp
75.0,61.7,,m,2005.0,qld2,btp
77.5,63.5,,f,2005.0,qld2,btp
71.5,58.0,,m,2004.0,qld2,btp
90.1,73.0,,f,2004.0,qld2,btp
75.0,58.8,,m,2005.0,qld2,btp
76.0,62.0,,m,2005.0,qld2,btp
76.0,61.0,,m,2005.0,qld2,btp
72.6,62.0,,m,2005.0,qld2,btp
104.7,86.2,,m,2004.0,qld2,btp
69.1,54.7,,m,2005.0,qld2,btp
71.3,58.2,,f,2005.0,qld2,btp
75.8,61.0,,f,2005.0,qld2,btp
73.9,60.0,,f,2005.0,qld2,btp
76.8,63.0,,f,2005.0,qld2,btp
72.5,59.1,,f,2005.0,qld2,btp
64.6,55.4,,m,2005.0,qld2,btp
76.5,61.0,,f,2005.0,qld2,btp
72.5,57.8,,f,2005.0,qld2,btp
72.8,59.0,,m,2005.0,qld2,btp
79.6,63.3,,m,2005.0,qld2,btp
77.4,62.9,,f,2005.0,qld2,btp
75.0,59.7,,f,2005.0,qld2,btp
79.8,68.0,,f,2005.0,qld2,btp
90.8,74.1,,m,2004.0,qld2,btp
74.8,61.0,,f,2005.0,qld2,btp
77.6,62.8,,f,2005.0,qld2,btp
83.5,67.6,,m,2005.0,qld2,btp
84.1,69.8,,f,2004.0,qld2,btp
68.1,55.3,,f,2005.0,qld2,btp
76.1,62.9,,m,2005.0,qld2,btp
80.1,64.1,,f,2005.0,qld2,btp
72.3,57.2,,f,2005.0,qld2,btp
86.7,70.7,,f,2005.0,qld2,btp
87.5,72.0,,m,2005.0,qld2,btp
87.8,70.3,,m,2005.0,qld2,btp
,68.9,,f,2005.0,qld2,btp
81.5,64.5,,f,2005.0,qld2,btp
81.0,66.0,,m,2005.0,qld2,btp
103.3,85.0,,m,2005.0,qld2,btp
86.0,70.0,,f,2005.0,qld2,btp
104.0,83.1,,m,2005.0,qld2,btp
111.1,88.2,,f,2005.0,qld2,btp
88.8,71.3,,m,2005.0,qld2,btp
88.5,74.5,,f,2005.0,qld2,btp
87.5,71.5,,m,2005.0,qld2,btp
107.0,87.0,,f,2005.0,qld2,btp
88.6,74.5,,f,2005.0,qld2,btp
98.0,76.5,,m,2005.0,qld2,btp
93.0,76.0,,f,2005.0,qld2,btp
83.0,66.5,,m,2005.0,qld2,btp
108.5,86.0,,m,2005.0,qld2,btp
98.0,79.0,,m,2005.0,qld2,btp
81.5,66.6,,m,2005.0,qld2,btp
84.6,71.0,,m,2005.0,qld2,btp
113.5,95.0,,m,2005.0,qld2,btp
91.2,74.0,,f,2005.0,qld2,btp
81.5,66.0,,m,2005.0,qld2,btp
91.2,74.0,,f,2005.0,qld2,btp
111.2,92.6,,f,2005.0,qld2,btp
77.6,63.0,,f,2005.0,qld2,btp
109.0,95.0,,m,2005.0,qld2,btp
78.5,58.6,,m,2005.0,qld2,btp
74.5,63.0,,f,2005.0,qld2,btp
94.3,77.5,,m,2005.0,qld2,btp
71.5,53.5,,f,2005.0,qld2,btp
76.0,61.2,,f,2005.0,qld2,btp
73.3,59.2,,m,2005.0,qld2,btp
77.5,63.8,,f,2005.0,qld2,btp
73.8,60.2,,m,2005.0,qld2,btp
101.2,87.0,,m,2005.0,qld2,btp
93.0,75.0,,f,2005.0,qld2,btp
101.2,87.0,,m,2005.0,qld2,btp
79.0,61.8,,f,2005.0,qld2,btp
73.5,60.5,,m,2005.0,qld2,btp
77.1,60.3,,m,2005.0,qld2,btp
75.0,59.8,,f,2005.0,qld2,btp
79.0,62.0,,f,2005.0,qld2,btp
78.0,63.5,,f,2005.0,qld2,btp
78.5,63.8,,f,2005.0,qld2,btp
74.4,59.3,,m,2006.0,qld2,btp
106.8,85.0,,f,2004.0,qld2,btp
73.7,58.1,,f,2004.0,qld2,btp
84.8,67.4,,f,2004.0,qld2,btp
85.9,69.4,,f,2004.0,qld2,btp
81.8,64.7,,m,2005.0,qld2,btp
74.2,58.8,,f,2005.0,qld2,btp
75.5,59.5,,f,2005.0,qld2,btp
73.8,59.1,,f,2005.0,qld2,btp
97.5,80.0,,m,2006.0,qld2,btp
106.5,86.5,,f,2006.0,qld2,btp
127.0,101.0,,m,2006.0,qld2,btp
112.0,90.5,,f,2006.0,qld2,btp
91.0,70.5,,f,2006.0,qld2,btp
127.0,100.0,,m,2006.0,qld2,btp
116.0,92.0,,m,2006.0,qld2,btp
94.5,74.5,,f,2006.0,qld2,btp
74.4,60.5,,f,2006.0,qld2,btp
94.5,76.0,,m,2006.0,qld2,btp
73.5,60.5,,m,2007.0,qld2,btp
71.3,59.1,,f,2007.0,qld2,btp
74.7,61.5,,f,2007.0,qld2,btp
72.0,59.0,,m,2007.0,qld2,btp
73.0,60.0,,m,2007.0,qld2,btp
76.0,65.5,,m,2007.0,qld2,btp
73.6,57.5,,f,2007.0,qld2,btp
78.5,62.0,,m,2007.0,qld2,btp
73.1,58.5,,f,2007.0,qld2,btp
80.5,65.0,,m,2007.0,qld2,btp
80.1,65.0,,m,2007.0,qld2,btp
77.5,59.0,,m,2007.0,qld2,btp
81.5,61.5,,m,2007.0,qld2,btp
69.0,58.0,,m,2007.0,qld2,btp
73.5,61.0,,f,2007.0,qld2,btp
78.0,64.0,,m,2007.0,qld2,btp
79.0,65.0,,m,2007.0,qld2,btp
79.5,65.0,,m,2007.0,qld2,btp
77.5,63.5,,m,2007.0,qld2,btp
81.5,66.5,,m,2007.0,qld2,btp
76.0,61.0,,f,2007.0,qld2,btp
80.0,56.0,,m,2007.0,qld2,btp
72.5,62.0,,f,2007.0,qld2,btp
74.0,59.5,,f,2007.0,qld2,btp
81.5,67.5,,f,2007.0,qld2,btp
72.0,60.0,,m,2007.0,qld2,btp
78.0,63.0,,f,2007.0,qld2,btp
81.5,68.0,,f,2007.0,qld2,btp
81.5,66.0,,f,2007.0,qld2,btp
77.5,61.0,,f,2007.0,qld2,btp
74.0,58.0,,f,2007.0,qld2,btp
